,0,1,2,3,4,5,6,7,8,9,10
0,whole milk,pastry,salty snack,,,,,,,,
1,sausage,whole milk,semi-finished bread,yogurt,,,,,,,
2,soda,pickled vegetables,,,,,,,,,
3,canned beer,misc. beverages,,,,,,,,,
4,sausage,hygiene articles,,,,,,,,,
5,sausage,whole milk,rolls/buns,,,,,,,,
6,whole milk,soda,,,,,,,,,
7,frankfurter,soda,whipped/sour cream,,,,,,,,
8,frankfurter,curd,,,,,,,,,
9,beef,white bread,,,,,,,,,
10,butter,whole milk,,,,,,,,,
11,frozen vegetables,other vegetables,,,,,,,,,
12,tropical fruit,sugar,,,,,,,,,
13,butter milk,specialty chocolate,,,,,,,,,
14,frozen meals,dental care,,,,,,,,,
15,rolls/buns,rolls/buns,,,,,,,,,
16,root vegetables,detergent,,,,,,,,,
17,sausage,rolls/buns,,,,,,,,,
18,dish cleaner,cling film/bags,,,,,,,,,
19,canned beer,frozen fish,,,,,,,,,
20,pip fruit,whole milk,tropical fruit,,,,,,,,
21,root vegetables,whole milk,pastry,,,,,,,,
22,rolls/buns,red/blush wine,chocolate,,,,,,,,
23,other vegetables,shopping bags,,,,,,,,,
24,whole milk,chocolate,packaged fruit/vegetables,rolls/buns,,,,,,,
25,other vegetables,hygiene articles,,,,,,,,,
26,whipped/sour cream,margarine,,,,,,,,,
27,rolls/buns,rolls/buns,,,,,,,,,
28,bottled water,softener,rolls/buns,,,,,,,,
29,whole milk,rice,,,,,,,,,
30,shopping bags,skin care,,,,,,,,,
31,whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,,
32,hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
33,tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
34,canned fish,cocoa drinks,,,,,,,,,
35,herbs,yogurt,newspapers,,,,,,,,
36,tropical fruit,yogurt,,,,,,,,,
37,pastry,ketchup,,,,,,,,,
38,pip fruit,coffee,UHT-milk,,,,,,,,
